00,61
01,22
02,19
03,15
04,1068
05,1130
06,71
07,85
08,109
09,19
0A,2081
0B,40
0C,83
0D,59
0E,149
0F,63
10,43
11,39
12,101
13,65
14,1028
15,64
16,17
17,1012
18,45
19,153
1A,76
1B,108
1C,2035
1D,2130
1E,31
1F,48
20,31
21,17
22,19
23,26
24,19
25,15
26,18
27,20
28,45
29,112
2A,3076
2B,29
2C,31
2D,38
2E,51
2F,22
30,56
31,1032
32,53
33,2021
34,31
35,22
36,48
37,1087
38,97
39,73
3A,15
3B,84
3C,55
3D,50
3E,1057
3F,32
40,1016
41,15
42,17
43,1028
44,17
45,19
46,14
47,15
48,1021
49,23
4A,30
4B,13
4C,31
4D,36
4E,29
4F,43
50,26
51,24
52,985
53,16
54,16
55,17
56,14
57,14
58,56
59,22
5A,52
5B,1033
5C,21
5D,1018
5E,1035
5F,1023
60,18
61,13
62,17
63,23
64,21
65,9
66,17
67,20
68,19
69,16
6A,24
6B,101
6C,26
6D,21
6E,15
6F,22
70,12
71,18
72,16
73,16
74,1017
75,5
76,88
77,10
78,17
79,6
7A,22
7B,1017
7C,106
7D,13
7E,1011
7F,15
80,18
81,26
82,17
83,1019
84,1028
85,53
86,18
87,17
88,58
89,35
8A,46
8B,41
8C,1046
8D,52
8E,59
8F,48
90,21
91,28
92,1017
93,18
94,13
95,25
96,28
97,32
98,33
99,15
9A,1020
9B,16
9C,47
9D,25
9E,16
9F,16
A0,24
A1,16
A2,23
A3,33
A4,50
A5,51
A6,1011
A7,13
A8,11
A9,1015
AA,13
AB,12
AC,24
AD,1021
AE,32
AF,22
B0,42
B1,1026
B2,62
B3,69
B4,35
B5,48
B6,1081
B7,118
B8,29
B9,62
BA,19
BB,41
BC,1024
BD,18
BE,39
BF,27
C0,17
C1,23
C2,18
C3,13
C4,47
C5,14
C6,16
C7,1017
C8,48
C9,135
CA,3035
CB,45
CC,33
CD,44
CE,111
CF,81
D0,1083
D1,1854
D2,109
D3,192
D4,134
D5,151
D6,39
D7,184
D8,155
D9,120
DA,1042
DB,1189
DC,86
DD,640
DE,39
DF,49
E0,56
E1,41
E2,104
E3,1080
E4,58
E5,54
E6,76
E7,11
E8,44
E9,72
EA,1038
EB,64
EC,62
ED,32
EE,65
EF,43
F0,28
F1,37
F2,1025
F3,282
F4,63
F5,69
F6,17
F7,48
F8,8
F9,625
FA,17
FB,14
FC,14
FD,19
FE,26
FF,22
