00,264
01,235
02,263
03,263
04,249
05,225
06,235
07,253
08,280
09,267
0A,260
0B,276
0C,267
0D,274
0E,249
0F,282
10,257
11,275
12,238
13,250
14,214
15,258
16,251
17,245
18,262
19,261
1A,240
1B,207
1C,240
1D,234
1E,249
1F,236
20,287
21,240
22,270
23,235
24,236
25,235
26,243
27,237
28,298
29,247
2A,246
2B,259
2C,279
2D,224
2E,284
2F,247
30,245
31,216
32,244
33,236
34,242
35,238
36,276
37,266
38,249
39,270
3A,236
3B,288
3C,247
3D,254
3E,270
3F,278
40,260
41,253
42,222
43,251
44,240
45,242
46,265
47,258
48,239
49,216
4A,242
4B,234
4C,271
4D,235
4E,264
4F,236
50,241
51,261
52,243
53,237
54,239
55,259
56,253
57,279
58,261
59,220
5A,259
5B,260
5C,266
5D,228
5E,257
5F,251
60,277
61,265
62,236
63,245
64,268
65,268
66,249
67,250
68,265
69,257
6A,260
6B,257
6C,249
6D,291
6E,271
6F,270
70,265
71,241
72,257
73,240
74,256
75,263
76,250
77,264
78,245
79,226
7A,237
7B,260
7C,270
7D,233
7E,247
7F,238
80,222
81,252
82,265
83,265
84,228
85,231
86,252
87,250
88,252
89,258
8A,273
8B,248
8C,247
8D,275
8E,275
8F,230
90,253
91,234
92,253
93,253
94,228
95,256
96,244
97,252
98,239
99,266
9A,251
9B,231
9C,264
9D,256
9E,238
9F,260
A0,230
A1,232
A2,209
A3,248
A4,244
A5,267
A6,243
A7,264
A8,236
A9,252
AA,235
AB,216
AC,262
AD,248
AE,250
AF,218
B0,239
B1,216
B2,277
B3,265
B4,235
B5,273
B6,221
B7,256
B8,255
B9,273
BA,268
BB,246
BC,249
BD,248
BE,262
BF,214
C0,255
C1,238
C2,220
C3,220
C4,243
C5,249
C6,282
C7,222
C8,241
C9,252
CA,258
CB,238
CC,260
CD,263
CE,258
CF,244
D0,254
D1,234
D2,206
D3,265
D4,253
D5,242
D6,233
D7,259
D8,253
D9,239
DA,235
DB,241
DC,246
DD,246
DE,232
DF,281
E0,264
E1,253
E2,256
E3,214
E4,237
E5,245
E6,259
E7,245
E8,287
E9,261
EA,211
EB,263
EC,229
ED,240
EE,262
EF,231
F0,261
F1,222
F2,234
F3,279
F4,255
F5,236
F6,268
F7,235
F8,229
F9,245
FA,252
FB,248
FC,262
FD,292
FE,256
FF,262
