00,298
01,214
02,239
03,262
04,247
05,234
06,257
07,227
08,269
09,237
0A,269
0B,261
0C,250
0D,275
0E,259
0F,253
10,226
11,241
12,242
13,249
14,253
15,248
16,280
17,290
18,273
19,288
1A,216
1B,239
1C,236
1D,227
1E,247
1F,242
20,225
21,286
22,254
23,223
24,258
25,235
26,261
27,240
28,303
29,247
2A,229
2B,283
2C,286
2D,224
2E,264
2F,251
30,266
31,260
32,277
33,230
34,233
35,248
36,239
37,266
38,231
39,226
3A,215
3B,282
3C,254
3D,254
3E,250
3F,261
40,278
41,269
42,232
43,249
44,238
45,246
46,285
47,252
48,245
49,234
4A,229
4B,236
4C,253
4D,225
4E,242
4F,230
50,252
51,261
52,257
53,246
54,232
55,250
56,256
57,268
58,267
59,254
5A,270
5B,243
5C,228
5D,220
5E,277
5F,242
60,267
61,258
62,228
63,237
64,237
65,255
66,257
67,252
68,243
69,247
6A,249
6B,273
6C,227
6D,248
6E,255
6F,263
70,259
71,256
72,250
73,225
74,272
75,244
76,252
77,293
78,243
79,231
7A,229
7B,242
7C,264
7D,267
7E,247
7F,250
80,234
81,252
82,238
83,264
84,211
85,227
86,248
87,252
88,260
89,250
8A,278
8B,249
8C,293
8D,278
8E,252
8F,281
90,259
91,239
92,266
93,262
94,239
95,258
96,265
97,259
98,242
99,265
9A,278
9B,247
9C,248
9D,230
9E,232
9F,247
A0,209
A1,250
A2,224
A3,237
A4,245
A5,242
A6,229
A7,266
A8,238
A9,245
AA,228
AB,241
AC,245
AD,241
AE,227
AF,235
B0,254
B1,235
B2,222
B3,263
B4,227
B5,285
B6,242
B7,256
B8,260
B9,235
BA,252
BB,262
BC,247
BD,247
BE,245
BF,244
C0,266
C1,239
C2,234
C3,245
C4,258
C5,265
C6,241
C7,220
C8,259
C9,244
CA,261
CB,248
CC,240
CD,242
CE,266
CF,255
D0,270
D1,232
D2,199
D3,237
D4,259
D5,232
D6,254
D7,295
D8,260
D9,249
DA,265
DB,249
DC,233
DD,253
DE,250
DF,274
E0,242
E1,246
E2,265
E3,279
E4,245
E5,250
E6,249
E7,254
E8,259
E9,270
EA,235
EB,246
EC,246
ED,203
EE,246
EF,239
F0,275
F1,241
F2,275
F3,263
F4,261
F5,227
F6,260
F7,231
F8,229
F9,234
FA,237
FB,296
FC,238
FD,294
FE,258
FF,237
